id,chapter,zoom,image,source-citation,source-link,desc,lon,lat
659578,Trinitys @ No 14,15,http://freston.net/blog/zpix/20130509-trinitys.jpg,http://freston.net/blog/index.php?y=2013&m=05&d=09,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=05&d=09,,
180488,Main Kitchen & Courtyard Restaurant,15,http://freston.net/blog/zpix/20130426-justeat.jpg,http://freston.net/blog/index.php?y=2013&m=04&d=26,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=04&d=26,,
660155,Marks & Spencer Simply Foods,15,http://freston.net/blog/zpix/20130420-marksandsparks.jpg,http://freston.net/blog/index.php?y=2013&m=04&d=20,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=04&d=20,,
669707,Park Cafe,15,http://freston.net/blog/zpix/20130408-altonwater.jpg,http://freston.net/blog/index.php?y=2013&m=04&d=08,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=04&d=08,1.138158,51.974571
659133,Dock Stop Cafe (Food Bar),15,http://freston.net/blog/zpix/20130325-felixport.jpg,http://freston.net/blog/index.php?y=2013&m=03&d=25,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=03&d=25,,
930702,Douglas Bader Public House,15,http://freston.net/blog/zpix/20130315-douglasbader.jpg,http://freston.net/blog/index.php?y=2013&m=03&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=03&d=14,,
-1,Lux Farm,15,http://freston.net/blog/zpix/20130305-luxfarm.jpg,http://freston.net/blog/index.php?y=2013&m=03&d=05,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=03&d=05,,
526707,Crabtrees Cafe Bar,15,http://freston.net/blog/zpix/20130222-crabtrees.jpg,http://freston.net/blog/index.php?y=2013&m=02&d=22,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=02&d=22,,
275528,Earsham Street Cafe,15,http://freston.net/blog/zpix/20130125-earsham.jpg,http://freston.net/blog/index.php?y=2013&m=01&d=25,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=01&d=25,1.437022,52.4575387
482018,Waitrose Ltd,15,http://freston.net/blog/zpix/20130124-waitrose.jpg,http://freston.net/blog/index.php?y=2013&m=01&d=24,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=01&d=24,,
-1,Yoxford Post Office,15,http://freston.net/blog/zpix/20130104-yoxford.jpg,http://freston.net/blog/index.php?y=2013&m=01&d=04,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=01&d=04,,
454696,Patisserie Valerie,15,http://freston.net/blog/zpix/20121219-valerie.jpg,http://freston.net/blog/index.php?y=2012&m=12&d=19,Click here for Freston.net review,http://freston.net/blog/index.php?y=2012&m=12&d=19,,
180459,Shakeaway,15,http://freston.net/blog/zpix/20121214-shakeaway.jpg,http://freston.net/blog/index.php?y=2012&m=12&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2012&m=12&d=14,,
660111,The Wild Blackberry Cafe,15,http://freston.net/blog/zpix/20121207-ruddyduck.jpg,http://freston.net/blog/index.php?y=2012&m=12&d=07,Click here for Freston.net review,http://freston.net/blog/index.php?y=2012&m=12&d=07,,
526789,Harvest Moon Cafe,15,http://freston.net/blog/zpix/20121122-harvest.jpg,http://freston.net/blog/index.php?y=2012&m=11&d=22,Click here for Freston.net review,http://freston.net/blog/index.php?y=2012&m=11&d=22,,
659712,Martlesham Leisure,15,http://freston.net/blog/zpix/20121114-leisure.jpg,http://freston.net/blog/index.php?y=2012&m=11&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2012&m=11&d=14,,
